coords,sentiment
11.33877/124.552177,-2
10.62223/125.149437,0
10.62223/125.149437,-2
11.33877/124.552177,-1
15.83228/120.573029,-2
11.69361/124.831947,0
10.62794/124.444077,0
11.33877/124.552177,-2
11.33877/124.552177,1
11.33877/124.552177,-2
11.33877/124.552177,-1
11.33877/124.552177,-2
10.84919/122.650482,-2
10.62223/125.149437,-1
10.62794/124.444077,0
11.33877/124.552177,-2
10.62223/125.149437,1
10.62223/125.149437,1
11.33877/124.552177,-1
11.33877/124.552177,-1
11.33877/124.552177,-2
11.33877/124.552177,2
11.33877/124.552177,1
14.69707/121.576851,0
14.69707/121.576851,0
11.24989/122.579987,1
11.33877/124.552177,-1
11.33877/124.552177,-1
14.69707/121.576851,0
11.33877/124.552177,-2
11.33877/124.552177,1
11.33877/124.552177,-2
11.33877/124.552177,0
11.33877/124.552177,1
14.635671/120.989517,-1
14.635671/120.989517,2
14.635671/120.989517,-2
14.635671/120.989517,-1
12.09032/125.47921,1
14.635671/120.989517,-2
10.62223/125.149437,-1
17.61025/121.687477,-1
10.84919/122.650482,-1
10.37741/123.013786,-2
10.37741/123.013786,-2
10.37741/123.013786,-1
11.33877/124.552177,-2
11.33877/124.552177,-1
11.33877/124.552177,-2
11.33877/124.552177,-2
11.33877/124.552177,1
15.83228/120.573029,-1
11.33877/124.552177,-2
11.33877/124.552177,-2
14.24251/121.053047,1
11.33877/124.552177,-2
11.33877/124.552177,2
7.34833/122.919899,1
11.477714/122.890266,0
11.477714/122.890266,1
9.84158/126.124962,0
11.33877/124.552177,-2
11.24989/122.579987,-1
11.24989/122.579987,1
11.33877/124.552177,-2
18.004311/120.772751,-1
11.33877/124.552177,1
11.33877/124.552177,-2
10.62794/124.444077,0
10.09141/119.241386,-1
11.41976/123.131416,2
11.33877/124.552177,0
11.33877/124.552177,0
15.42119/120.172684,1
10.62223/125.149437,-1
7.66159/122.984718,-1
14.635671/120.989517,-2
11.33877/124.552177,0
14.635671/120.989517,2
11.33877/124.552177,1
15.42119/120.172684,-2
11.33877/124.552177,-1
15.83228/120.573029,-2
11.33877/124.552177,-2
11.33877/124.552177,-2
11.33877/124.552177,0
11.33877/124.552177,1
10.09141/119.241386,-1
10.09141/119.241386,-1
11.33877/124.552177,1
11.08335/124.747963,2
12.09032/125.47921,1
17.48101/120.482536,-1
14.19444/121.370506,2
11.33877/124.552177,-1
11.33877/124.552177,-1
11.33877/124.552177,-2
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,-1
10.62223/125.149437,-1
15.42119/120.172684,-1
10.62223/125.149437,2
11.477714/122.890266,0
11.33877/124.552177,-2
11.33877/124.552177,-1
10.62223/125.149437,-2
11.24989/122.579987,1
10.62223/125.149437,-2
11.33877/124.552177,-2
11.24989/122.579987,-1
11.33877/124.552177,2
11.33877/124.552177,-1
11.33877/124.552177,-1
14.69707/121.576851,0
15.42119/120.172684,-2
15.42119/120.172684,-1
10.84919/122.650482,1
10.09141/119.241386,0
11.33877/124.552177,-2
11.26843/122.888893,0
10.62223/125.149437,-2
11.33877/124.552177,1
14.24251/121.053047,1
11.33877/124.552177,1
11.33877/124.552177,-2
14.24251/121.053047,-1
11.13314/122.242104,1
11.24989/122.579987,-1
11.33877/124.552177,-2
11.33877/124.552177,2
14.24251/121.053047,-1
11.33877/124.552177,0
11.33877/124.552177,1
11.33877/124.552177,-2
15.35778/120.739723,0
7.34833/122.919899,0
11.33877/124.552177,-2
15.83228/120.573029,-2
14.24251/121.053047,-1
11.33877/124.552177,2
11.48514/122.728973,-1
11.33877/124.552177,-2
11.33877/124.552177,-2
9.84158/126.124962,0
10.35489/124.894531,0
11.33877/124.552177,1
9.84158/126.124962,0
11.48399/122.784111,1
10.84919/122.650482,0
11.69361/124.831947,0
11.33877/124.552177,1
14.69707/121.576851,0
10.79067/123.944832,0
10.79067/123.944832,0
11.33877/124.552177,0
11.33877/124.552177,1
11.33877/124.552177,-1
10.37741/123.013786,0
11.33877/124.552177,-1
11.33877/124.552177,-1
15.42119/120.172684,2
11.33877/124.552177,-2
11.33877/124.552177,1
10.62223/125.149437,-2
11.33877/124.552177,1
11.33877/124.552177,-2
10.30393/125.266983,-1
10.52387/125.052963,0
10.45003/125.185837,0
11.13913/123.10968,-2
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,2
11.33877/124.552177,-1
11.33877/124.552177,1
11.33877/124.552177,-2
11.33877/124.552177,1
10.62223/125.149437,0
11.33877/124.552177,0
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,0
11.33877/124.552177,1
11.48399/122.784111,2
11.33877/124.552177,0
11.33877/124.552177,0
10.62223/125.149437,-1
10.84919/122.650482,-1
11.33877/124.552177,1
10.09141/119.241386,-1
11.33877/124.552177,2
11.477714/122.890266,-1
11.33877/124.552177,-1
10.35489/124.894531,-2
11.33877/124.552177,-1
11.48514/122.728973,1
11.48399/122.784111,2
11.33877/124.552177,0
7.91623/124.600487,2
11.49771/123.120338,1
18.004311/120.772751,-1
11.33877/124.552177,1
11.33877/124.552177,-1
11.33877/124.552177,-2
11.33877/124.552177,-1
11.26843/122.888893,-2
11.33877/124.552177,-1
10.84919/122.650482,-2
11.33877/124.552177,-1
10.84919/122.650482,-1
10.06127/122.805679,0
10.84919/122.650482,0
11.33877/124.552177,2
9.84158/126.124962,-1
11.33877/124.552177,-1
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,0
9.84158/126.124962,0
11.477714/122.890266,1
11.33877/124.552177,-2
11.33877/124.552177,-1
11.33877/124.552177,-1
11.33877/124.552177,1
10.62223/125.149437,0
11.33877/124.552177,-1
10.62223/125.149437,0
11.33877/124.552177,2
11.33877/124.552177,1
11.477714/122.890266,0
11.33877/124.552177,0
15.42119/120.172684,1
11.33877/124.552177,1
11.477714/122.890266,0
11.33877/124.552177,0
14.24251/121.053047,2
11.69361/124.831947,1
11.33877/124.552177,0
11.33877/124.552177,1
11.33877/124.552177,2
12.09032/125.47921,1
11.33877/124.552177,1
11.33877/124.552177,-1
11.33877/124.552177,-1
10.62223/125.149437,1
11.33877/124.552177,1
11.33877/124.552177,0
11.33877/124.552177,0
11.09735/124.945137,-1
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,2
11.477714/122.890266,2
11.33877/124.552177,-1
11.33877/124.552177,-1
11.33877/124.552177,2
11.33877/124.552177,2
10.62223/125.149437,0
10.62223/125.149437,2
12.09032/125.47921,2
11.33877/124.552177,1
11.477714/122.890266,2
10.62223/125.149437,-1
11.24989/122.579987,-1
11.24989/122.579987,1
11.33877/124.552177,-1
11.33877/124.552177,1
14.19444/121.370506,-1
11.477714/122.890266,1
11.33877/124.552177,-1
10.62223/125.149437,0
9.84158/126.124962,2
12.09032/125.47921,1
11.24989/122.579987,1
11.33877/124.552177,-2
14.19444/121.370506,0
13.55446/124.149101,0
10.62223/125.149437,1
11.24989/122.579987,1
11.33877/124.552177,2
10.62223/125.149437,-1
11.33877/124.552177,-1
11.33877/124.552177,-1
11.33877/124.552177,2
11.33877/124.552177,0
11.33877/124.552177,-1
11.33877/124.552177,-1
14.24634/120.899887,2
11.09735/124.945137,2
11.33877/124.552177,0
10.62223/125.149437,2
13.87362/122.396873,2
7.67176/122.899239,1
11.33877/124.552177,-1
16.34889/119.989723,2
11.33877/124.552177,-1
11.33877/124.552177,-2
10.09141/119.241386,-2
9.84158/126.124962,-1
11.33877/124.552177,0
7.90923/123.819839,-1
10.09141/119.241386,1
11.33877/124.552177,-2
11.1829/125.568336,-2
